coreid,identifier,accessURI,thumbnailAccessURI,goodQualityAccessURI,rights,Owner,creator,UsageTerms,WebStatement,caption,comments,providerManagedID,MetadataDate,format,associatedSpecimenReference,type,subtype,metadataLanguage
10898348,https://www.tropicos.org/ImageFullView.aspx?imageid=101065934,https://www.tropicos.org/ImageFullView.aspx?imageid=101065934,,,http://creativecommons.org/licenses/by/4.0/,"Missouri Botanical Garden",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:def0d537-a008-46f3-addb-52280e4e4d82,"2024-02-28 14:09:28",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=10898348,StillImage,Photograph,en
10898348,http://images.mobot.org/tropicosimages4/thumbnails/TropicosImagesVol4/101065000/101065934.jpg,http://images.mobot.org/tropicosimages4/thumbnails/TropicosImagesVol4/101065000/101065934.jpg,,,http://creativecommons.org/licenses/by/4.0/,"Missouri Botanical Garden",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:da203cb0-9c95-4eb1-86b0-00b5f8d83231,"2024-02-28 14:09:28",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=10898348,StillImage,Photograph,en
12723499,https://s3.us-west-2.amazonaws.com/db.herbarium.arizona.edu/images/ARIZ/ARIZ/00429/ARIZ429336_lg.jpg,https://s3.us-west-2.amazonaws.com/db.herbarium.arizona.edu/images/ARIZ/ARIZ/00429/ARIZ429336_lg.jpg,https://s3.us-west-2.amazonaws.com/db.herbarium.arizona.edu/images/ARIZ/ARIZ/00429/ARIZ429336_tn.jpg,https://s3.us-west-2.amazonaws.com/db.herbarium.arizona.edu/images/ARIZ/ARIZ/00429/ARIZ429336.jpg,http://creativecommons.org/licenses/by-nc/3.0/,"University of Arizona Herbarium (ARIZ-)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:8910973b-3efb-418a-b0d7-de3e8d7974e2,"2022-03-01 16:04:13",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=12723499,StillImage,Photograph,en
12723611,https://s3.us-west-2.amazonaws.com/db.herbarium.arizona.edu/images/ARIZ/ARIZ/00429/ARIZ429443_lg.jpg,https://s3.us-west-2.amazonaws.com/db.herbarium.arizona.edu/images/ARIZ/ARIZ/00429/ARIZ429443_lg.jpg,https://s3.us-west-2.amazonaws.com/db.herbarium.arizona.edu/images/ARIZ/ARIZ/00429/ARIZ429443_tn.jpg,https://s3.us-west-2.amazonaws.com/db.herbarium.arizona.edu/images/ARIZ/ARIZ/00429/ARIZ429443.jpg,http://creativecommons.org/licenses/by-nc/3.0/,"University of Arizona Herbarium (ARIZ-)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:a27ecdb7-4927-43a3-8066-2575970394ed,"2022-03-01 16:04:13",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=12723611,StillImage,Photograph,en
13764376,https://swbiodiversity.org/imglib/storage/portals/seinet/arizona/SEINet/201704/BoraginaceaePectocaryarecurvat_1491931890_lg.jpg,https://swbiodiversity.org/imglib/storage/portals/seinet/arizona/SEINet/201704/BoraginaceaePectocaryarecurvat_1491931890_lg.jpg,https://swbiodiversity.org/imglib/storage/portals/seinet/arizona/SEINet/201704/BoraginaceaePectocaryarecurvat_1491931890_tn.jpg,https://swbiodiversity.org/imglib/storage/portals/seinet/arizona/SEINet/201704/BoraginaceaePectocaryarecurvat_1491931890.jpg,http://creativecommons.org/licenses/by-nc/3.0/,"General Research Observations (SEINet)","Sue Carnahan","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,"Salero Ranch, Santa Cruz Co., Arizona; 18 Mar 2017",urn:uuid:01d4f6c0-9b41-4560-ab08-98678bc64700,"2017-04-11 10:31:31",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=13764376,StillImage,Photograph,en
13764376,https://swbiodiversity.org/imglib/storage/portals/seinet/arizona/SEINet/201704/BoraginaceaePectocaryarecurvat_1491931927_lg.jpg,https://swbiodiversity.org/imglib/storage/portals/seinet/arizona/SEINet/201704/BoraginaceaePectocaryarecurvat_1491931927_lg.jpg,https://swbiodiversity.org/imglib/storage/portals/seinet/arizona/SEINet/201704/BoraginaceaePectocaryarecurvat_1491931927_tn.jpg,https://swbiodiversity.org/imglib/storage/portals/seinet/arizona/SEINet/201704/BoraginaceaePectocaryarecurvat_1491931927.jpg,http://creativecommons.org/licenses/by-nc/3.0/,"General Research Observations (SEINet)","Sue Carnahan","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,"Salero Ranch, Santa Cruz Co., Arizona; 18 Mar 2017",urn:uuid:2691ac94-31e1-4ed7-87f3-7f46c01c18ac,"2017-04-11 10:32:07",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=13764376,StillImage,Photograph,en
16512557,https://botanydb.colorado.edu/COLO_V/01926/01926559.jpg,https://botanydb.colorado.edu/COLO_V/01926/01926559.jpg,https://botanydb.colorado.edu/COLO_V/01926/01926559_tn.jpg,https://botanydb.colorado.edu/COLO_V/01926/01926559.jpg,http://creativecommons.org/licenses/by-nc/4.0/,"University of Colorado Museum of Natural History Herbarium Vascular Plant Collection (COLO-V)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:d02f0454-7de2-493a-9bf1-b4f04f86fd0f,"2017-10-23 15:30:46",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=16512557,StillImage,Photograph,en
16512563,https://botanydb.colorado.edu/COLO_V/01926/01926500.jpg,https://botanydb.colorado.edu/COLO_V/01926/01926500.jpg,https://botanydb.colorado.edu/COLO_V/01926/01926500_tn.jpg,https://botanydb.colorado.edu/COLO_V/01926/01926500.jpg,http://creativecommons.org/licenses/by-nc/4.0/,"University of Colorado Museum of Natural History Herbarium Vascular Plant Collection (COLO-V)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:eb9402ac-b849-444a-b04b-abda6dedbff0,"2017-10-23 15:30:46",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=16512563,StillImage,Photograph,en
16512564,https://botanydb.colorado.edu/COLO_V/01926/01926518.jpg,https://botanydb.colorado.edu/COLO_V/01926/01926518.jpg,https://botanydb.colorado.edu/COLO_V/01926/01926518_tn.jpg,https://botanydb.colorado.edu/COLO_V/01926/01926518.jpg,http://creativecommons.org/licenses/by-nc/4.0/,"University of Colorado Museum of Natural History Herbarium Vascular Plant Collection (COLO-V)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:1f3b1c63-07d0-4367-8a90-3390a23862f9,"2017-10-23 15:30:46",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=16512564,StillImage,Photograph,en
17757543,https://s3.us-west-2.amazonaws.com/db.herbarium.arizona.edu/images/ARIZ/ARIZ/00433/ARIZ433736_lg.jpg,https://s3.us-west-2.amazonaws.com/db.herbarium.arizona.edu/images/ARIZ/ARIZ/00433/ARIZ433736_lg.jpg,https://s3.us-west-2.amazonaws.com/db.herbarium.arizona.edu/images/ARIZ/ARIZ/00433/ARIZ433736_tn.jpg,https://s3.us-west-2.amazonaws.com/db.herbarium.arizona.edu/images/ARIZ/ARIZ/00433/ARIZ433736.jpg,http://creativecommons.org/licenses/by-nc/3.0/,"University of Arizona Herbarium (ARIZ-)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:16372982-7da2-4d6c-948f-760e2017d2a2,"2022-03-01 16:04:13",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=17757543,StillImage,Photograph,en
21746266,https://s3.us-west-2.amazonaws.com/db.herbarium.arizona.edu/images/ARIZ/ARIZ/00436/ARIZ436691_lg.jpg,https://s3.us-west-2.amazonaws.com/db.herbarium.arizona.edu/images/ARIZ/ARIZ/00436/ARIZ436691_lg.jpg,https://s3.us-west-2.amazonaws.com/db.herbarium.arizona.edu/images/ARIZ/ARIZ/00436/ARIZ436691_tn.jpg,https://s3.us-west-2.amazonaws.com/db.herbarium.arizona.edu/images/ARIZ/ARIZ/00436/ARIZ436691.jpg,http://creativecommons.org/licenses/by-nc/3.0/,"University of Arizona Herbarium (ARIZ-)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:f30550b8-85f4-4139-ab4c-0806220fae11,"2020-05-28 10:28:36",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=21746266,StillImage,Photograph,en
22196616,https://swbiodiversity.org/imglib/seinet/swnode/ASDM/00003/Pectocarya_recurvata_3967_lg.jpg,https://swbiodiversity.org/imglib/seinet/swnode/ASDM/00003/Pectocarya_recurvata_3967_lg.jpg,https://swbiodiversity.org/imglib/seinet/swnode/ASDM/00003/Pectocarya_recurvata_3967_tn.jpg,https://swbiodiversity.org/imglib/seinet/swnode/ASDM/00003/Pectocarya_recurvata_3967.jpg,http://creativecommons.org/licenses/by-nc/3.0/,"Arizona-Sonora Desert Museum (ASDM)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:c83a3446-8b71-4ad1-a7d7-06fde309d8eb,"2021-01-27 11:55:39",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=22196616,StillImage,Photograph,en
29074845,http://sweetgum.nybg.org/images3/2673/362/03244341.jpg,http://sweetgum.nybg.org/images3/2673/362/03244341.jpg,,,http://creativecommons.org/licenses/by/3.0/,"New York Botanical Garden Steere Herbarium (NY-)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:1194c6f1-8671-4c1f-90a9-3d62e6a252ca,"2024-08-07 15:28:46",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=29074845,StillImage,Photograph,en
29434537,https://biorepo.neonscience.org/imglib/neon/NEON_TPLC-HV/B00000051/B00000051302_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_TPLC-HV/B00000051/B00000051302_lg.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_TPLC-HV/B00000051/B00000051302_tn.jpg,https://biorepo.neonscience.org/imglib/neon/NEON_TPLC-HV/B00000051/B00000051302.jpg,http://creativecommons.org/publicdomain/zero/1.0/,"ASU-NEON Terrestrial Plant Collection (Herbarium Vouchers) (NEON-TPLC-HV)",,"CC0 1.0 (Public-domain)",,,,urn:uuid:70618504-9c34-4cea-85af-7c8f8600b97f,"2022-05-19 12:57:30",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=29434537,StillImage,Photograph,en
29887208,https://swbiodiversity.org/imglib/seinet/swnode/ASU_Plants/ASU0313/ASU0313600_lg.jpg,https://swbiodiversity.org/imglib/seinet/swnode/ASU_Plants/ASU0313/ASU0313600_lg.jpg,https://swbiodiversity.org/imglib/seinet/swnode/ASU_Plants/ASU0313/ASU0313600_tn.jpg,https://swbiodiversity.org/imglib/seinet/swnode/ASU_Plants/ASU0313/ASU0313600.jpg,http://creativecommons.org/licenses/by-nc/3.0/,"Arizona State University Vascular Plant Herbarium (ASU-Plants)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:512f8a7c-7612-4b08-a038-d9f5cab64fa8,"2022-06-27 14:10:56",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=29887208,StillImage,Photograph,en
30333536,https://s3.us-west-2.amazonaws.com/db.herbarium.arizona.edu/images/ARIZ/202211/ARIZ441090_lg.jpg,https://s3.us-west-2.amazonaws.com/db.herbarium.arizona.edu/images/ARIZ/202211/ARIZ441090_lg.jpg,https://s3.us-west-2.amazonaws.com/db.herbarium.arizona.edu/images/ARIZ/202211/ARIZ441090_tn.jpg,https://s3.us-west-2.amazonaws.com/db.herbarium.arizona.edu/images/ARIZ/202211/ARIZ441090.jpg,http://creativecommons.org/licenses/by-nc/3.0/,"University of Arizona Herbarium (ARIZ-)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:eee58766-1354-40da-903e-2645c3ec7053,"2022-11-01 13:27:23",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=30333536,StillImage,Photograph,en
30431990,https://s3.us-west-2.amazonaws.com/db.herbarium.arizona.edu/images/ARIZ/202301/ARIZ441689_lg.jpg,https://s3.us-west-2.amazonaws.com/db.herbarium.arizona.edu/images/ARIZ/202301/ARIZ441689_lg.jpg,https://s3.us-west-2.amazonaws.com/db.herbarium.arizona.edu/images/ARIZ/202301/ARIZ441689_tn.jpg,https://s3.us-west-2.amazonaws.com/db.herbarium.arizona.edu/images/ARIZ/202301/ARIZ441689.jpg,http://creativecommons.org/licenses/by-nc/3.0/,"University of Arizona Herbarium (ARIZ-)",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,urn:uuid:59897f11-eeec-4af7-a941-f1c6a8447e45,"2023-01-10 10:06:10",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=30431990,StillImage,Photograph,en
