id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,behavior,vitality,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references
15364630,GreaterGood,,,HumanObservation,83da57f3-7e58-4e10-82be-fe00429a88f8,mde-18564,,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Pectocarya",Plantae,Magnoliophyta,,Boraginales,Boraginaceae,"Pectocarya recurvata",1791,"I.M. Johnston",Pectocarya,,recurvata,,,Species,,,,,,,,"T.R. Van Devender","R.K. Van Devender, J.F. Wiens",,1992-02-29,,1992,2,29,60,,29-Feb-92,,"Arizona Uplan Sonoran desertscrub.",,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Arizona,Pinal,,"Desert Peak, 8.1 km ENE of Red Rock.",,,,32.59222,-111.24611,,,"32§ 35m 32s 111§ 14m 46s",,,,,,734,,,,,,,,,"2023-07-16 07:02:03",,274,83da57f3-7e58-4e10-82be-fe00429a88f8,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=15364630
25110213,GreaterGood,,,HumanObservation,7331250d-03ca-4a42-bb86-eb7f18d8d660,mde-43899,,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Pectocarya",Plantae,Magnoliophyta,,Boraginales,Boraginaceae,"Pectocarya recurvata",1791,"I.M. Johnston",Pectocarya,,recurvata,,,Species,,,,,,,,"T.R. Van Devender","C.D. Bertelsen, R.J. Rondeau",,1989-05-21,,1989,5,21,141,,21-May-1989,"Summary of many hikes.","Rocky canyon; Sonoran desertscrub.",,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Arizona,Pima,,"King Canyon, W of Tucson, Tucson Mountains.",,,,32.25556,-111.16583,,,"32° 15m 20s 111° 9m 57s",,,,,,901,,,,,,,,,"2023-07-16 07:02:03",,274,7331250d-03ca-4a42-bb86-eb7f18d8d660,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=25110213
850419,ARIZ,,,PreservedSpecimen,urn:uuid:a3e77c7d-ea03-4862-bb40-a382e836407e,368020,"SAGU 6766","Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Pectocarya",Plantae,Magnoliophyta,,Boraginales,Boraginaceae,"Pectocarya recurvata",1791,"I.M. Johnston",Pectocarya,,recurvata,,,Species,"Patricia A. West",2001-04-04,,,,,,"Patricia A. West","Dale Turner, Teresa DeKoker, Emily Willard",86,2001-04-04,,2001,4,4,94,,"April,4,2001","Forb 10",,,,,,,,,,,,,,Reproductive,,,,,,,,,,,,,"United States",Arizona,"Pima County",,"Saguaro National Park, Tucson Mountain District;",,,,32.28353,-111.17672,,,"UTM: 12 483359 3571876",,,,,,883,,,,,"2900 ft.",,,,"2014-06-04 17:55:17",95562,2,c71ab9e9-7cbf-480c-8f43-c0328621e54d,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=850419
5563908,ARIZ,,,PreservedSpecimen,urn:uuid:1138f053-a46c-406a-b427-55143fae33b5,,,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Pectocarya",Plantae,Magnoliophyta,,Boraginales,Boraginaceae,"Pectocarya recurvata",1791,"I.M. Johnston",Pectocarya,,recurvata,,,Species,"K. Reichhardt",1985-03-25,,,,,,"K. Reichhardt",,85-66,1985-03-25,,1985,3,25,84,,"March,25,1985",,,,,,,,,,,,,,,Fruiting,,,,,,,,,,,,,"United States",Arizona,"Pima County",,"0.3 mile north of Rattlesnake Pass and 0.2 mile west of Silverbell Road, in low volcanic hills with Cercidium and Larrea",,,,32.3762,-111.1429,,500,,,,,,,792,,,,,"2600 ft.",,,,"2013-11-07 11:43:44",45811,2,501414f8-2c0e-4d0d-8c26-b83655bc173b,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=5563908
367108,UCR,,,PreservedSpecimen,UCR-BPS-32744,,UCR-32744,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Pectocarya",Plantae,Magnoliophyta,,Boraginales,Boraginaceae,"Pectocarya recurvata",1791,"I.M. Johnston",Pectocarya,,recurvata,,,Species,,,,,,,,"Robert Perrill",,5304,1983-02-27,,1983,2,27,58,,1983-2-27,"In sandy soil near small wash.","Gentle southwest-facing slope; with Cercidium microphyllum, Ambrosia deltoidea and Carnegiea gigantea.",,,,,,,,,,,,,"Flowering & Fruiting",,,,,,,,,,,,,"United States",Arizona,Pima,,"just west of McCain Loop and south of Kinney Road; Tucson Mountain Park west of Tucson",,0,,32.21461,-111.14128,,,,,,BCGeoReferenced,,,793,,,,,,,,,"2025-01-18 18:23:43",1512115,9,ffb0bf05-b0ee-434f-81f1-e9564e3d9abe,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=367108
1092910,DES,,,PreservedSpecimen,08abaa81-373e-47f0-bc63-6153087607d2,DES00057177,,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Pectocarya",Plantae,Magnoliophyta,,Boraginales,Boraginaceae,"Pectocarya recurvata",1791,"I.M. Johnston",Pectocarya,,recurvata,,,Species,,,,,,,,"Wendy C. Hodgson","D.Z. Damrel, D. R. Puente-Martinez, Goldman, J. Ward",16440,2003-03-07,,2003,3,7,66,,,,"Sandy wash within Sonoran Desertscrub, AZ Uplands",,"Locally common annual with white flowers.",,,,,,,,,,"Hymenoxys, Parkinsonia florida, Acacia greggii, Celtis pallida, Phoradendron californicum, Cylindropuntia fulgia, Cryptantha pterocarya, Calandrinia ciliata, Sisymbrium irio, Herniaria hirsuta ssp. cinerea, Plagiobothrys pringlei, Ephedra fasciculata, Cistanthe monandra, Filago californica,Pectoarya platycarpa, P. recurvata, Draba cunefolia var. integra, Amsinckia menziesii var. intermedia, Androsace occidentalis, Lepidium virginicum var. intermedium, Plagiobothrys arizonicus, Cryptantha barbigera, Descurainia pinnata, Lesquerella tenella.","flower & fruit",,0,,,,,,,,,,,USA,Arizona,"Pinal County",,"Tortolita Mountains, WNW side.",,0,,32.512467,-111.1402,,,"32d 30.748m N; 111d 8.412m W",,,,,,771,,,,,2529ft.,,,Dixie,"2023-07-16 07:02:03",14301,5,08abaa81-373e-47f0-bc63-6153087607d2,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1092910
707832,ASU,Plants,,PreservedSpecimen,e887e0ee-6e99-47e3-9482-a0cc403888a0,,249734,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Pectocarya",Plantae,Magnoliophyta,,Boraginales,Boraginaceae,"Pectocarya recurvata",1791,"I.M. Johnston",Pectocarya,,recurvata,,,Species,,,,,,,,"Jodi Basher","Greg Peterson",3,2004-03-16,,2004,3,16,76,,,,"Upland sonora",,,,,,,,,,"[{""type"":""symbiotaAssociations"",""version"":""1.0"",""associations"":[{""associationType"":""observational"",""relationship"":""ecologicallyOccursWith"",""verbatimSciname"":""Carnegia gigantea"",""type"":""genericObservation""}]},{""type"":""verbatimText"",""verbatimText"":""""}]",,"[{""type"":""symbiotaAssociations"",""version"":""1.0"",""associations"":[{""associationType"":""observational"",""relationship"":""ecologicallyOccursWith"",""verbatimSciname"":""Carnegia gigantea"",""type"":""genericObservation""}]},{""type"":""verbatimText"",""verbatimText"":""""}]","flowers & fruit",,0,,,,,,,,,,,USA,Arizona,"Pima County",,"Tucson, AZ; Interstate 10 west to Cortaro Road right (W) to Silverbell right (N) to Scenic Drive left (S) to 8925 north Scenic Drive",,0,,32.3691,-111.141,,,,,,,,,661,,,,,2167ft,,,roisan,"2023-07-16 07:02:03",76212,1,e887e0ee-6e99-47e3-9482-a0cc403888a0,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=707832
6642404,MABA,Plants,,HumanObservation,1a8e99fa-3088-439d-be9c-bcbe8d680bf7,son-trv-28542,,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Pectocarya",Plantae,Magnoliophyta,,Boraginales,Boraginaceae,"Pectocarya recurvata",1791,"I.M. Johnston",Pectocarya,,recurvata,,,Species,,,,,,,,"A.L. Reina-G.","T.R. Van Devender",,2015-04-05,,2015,4,5,95,,5-Apr-15,,"Rocky canyon; Arizona Upland Sonoran desertscrub.",,,,,,,,,,,,,,,,,,,,,,,,,,"United States",Arizona,Pima,,"Picture Rocks Pass, W of Tuson, Tucson Mountains.",,,,32.32444,-111.11972,,,,,,,,,,,,,,,,,,"2023-07-16 07:02:03",son-trv-28542,100,1a8e99fa-3088-439d-be9c-bcbe8d680bf7,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=6642404
739130,ASU,Plants,,PreservedSpecimen,eb766616-e74c-4761-8b21-bcbabd02f969,,166222,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Pectocarya",Plantae,Magnoliophyta,,Boraginales,Boraginaceae,"Pectocarya recurvata",1791,"I.M. Johnston",Pectocarya,,recurvata,,,Species,"Elinor Lehto",,,,,,,"Elinor Lehto","Keil, Pinkava",10622,1968-03-01,,1968,3,1,61,,,,"Rocky mountainside",,,,,,,,,,,,,"flowers & fruit",,0,,,,,,,,,,,USA,Arizona,"Pima County",,"Sabino Canyon; just outside caretaker's headquarters",,0,,31.8658,-111.456,,,,,,"GEOLocate_032105; Low precision","not reviewed",,,,,,,,,,roisan,"2023-07-16 07:02:03",116979,1,eb766616-e74c-4761-8b21-bcbabd02f969,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=739130
739139,ASU,Plants,,PreservedSpecimen,4aa83cd8-3401-4fd8-810b-ca9aac528107,,12171,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Pectocarya",Plantae,Magnoliophyta,,Boraginales,Boraginaceae,"Pectocarya recurvata",1791,"I.M. Johnston",Pectocarya,,recurvata,,,Species,"Barbara Veno, 1977",,,,,,,"D. T. Patten",,,1966-04-08,,1966,4,8,98,,,,Mesquite-shrub,,,,,,,,,,,,,"flowers & fruit",,0,,,,,,,,,,,USA,Arizona,"Pima County",,"Sabino Canyon in Babaquavari Mountains",,0,,31.8658,-111.456,,,,,,"GEOLocate_032105; Low precision","not reviewed",,1128,,,,,3700ft,,,roisan,"2023-07-16 07:02:03",116997,1,4aa83cd8-3401-4fd8-810b-ca9aac528107,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=739139
