coreid,identifiedBy,dateIdentified,identificationQualifier,scientificName,identificationIsCurrent,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordID,modified
5563932,"L. Benson",1941-03-11,,"Pectocarya recurvata",0,"I.M. Johnston",,,,,,,urn:uuid:f75dbe72-5c80-41ab-9a4e-f0c2aca61839,"2012-09-06 15:37:14"
5563933,"L. Swingle",1916-03-01,,"Pectocarya recurvata",0,"I.M. Johnston",,,,,,,urn:uuid:860d4ea5-7758-451b-a3b4-315898c76730,"2012-09-06 15:37:14"
5585980,unknown,s.d.,,"Pectocarya recurvata",1,"I.M. Johnston",Pectocarya,recurvata,,,,,urn:uuid:d5004913-8a51-4388-952e-d9a119dec470,"2023-07-16 05:07:11"
7248883,"Julia Fonseca","march 8, 2014",,"Pectocarya recurvata",1,"I.M. Johnston",Pectocarya,recurvata,,,,,urn:uuid:5e21e5c6-359a-40bf-ae96-8d432d656dbe,"2023-07-16 05:07:11"
12723499,unknown,s.d.,,"Pectocarya recurvata",1,"I.M. Johnston",Pectocarya,recurvata,,,,,urn:uuid:e5807521-ddc4-46a4-ab2e-d4aab8844c5d,"2023-07-16 05:07:11"
12723611,"Julia Fonseca",s.d.,,"Pectocarya recurvata",1,"I.M. Johnston",Pectocarya,recurvata,,,,,urn:uuid:eed2f856-eb6c-48a6-9186-40485c69849e,"2023-07-16 05:07:11"
17757543,unknown,s.d.,,"Pectocarya recurvata",1,"I.M. Johnston",Pectocarya,recurvata,,,,,urn:uuid:49b14845-b49b-4036-8bca-de283145bc32,"2023-07-16 05:07:11"
21746266,"S. Carnahan",2018,,"Pectocarya recurvata",1,"I.M. Johnston",Pectocarya,recurvata,,,,,urn:uuid:9c901334-33b9-4ded-8b6d-a5a2ecce29aa,"2023-07-16 05:07:11"
30333536,"J. Verrier",2018,,"Pectocarya recurvata",1,"I.M. Johnston",Pectocarya,recurvata,,,,,urn:uuid:f7944e12-6267-4720-b201-67ed33fa888d,"2023-07-16 05:07:11"
30431990,"S. Carnahan",2020,,"Pectocarya recurvata",1,"I.M. Johnston",Pectocarya,recurvata,,,,,urn:uuid:3c0e8ebd-74f5-4726-914b-58ddc7430be3,"2023-07-16 05:07:11"
2092538,unknown,s.d.,,"Pectocarya recurvata",1,"I.M. Johnston",Pectocarya,recurvata,,,,,urn:uuid:273a3199-2b14-41d4-afa5-39e682a7acd2,"2023-07-16 05:07:11"
2092543,"USDA Sacaton-R.H. Peebles",s.d.,,"Pectocarya recurvata",1,"I.M. Johnston",Pectocarya,recurvata,,,,,urn:uuid:2c6ffe68-b86b-4560-be87-ec5d5c1fd8ee,"2023-07-16 05:07:11"
2092545,unknown,s.d.,,"Pectocarya recurvata",1,"I.M. Johnston",Pectocarya,recurvata,,,,,urn:uuid:13b34c81-60a2-4afe-9b8f-e900a3f382bb,"2023-07-16 05:07:11"
1092910,unknown,s.d.,,"Pectocarya recurvata",1,"I.M. Johnston",Pectocarya,recurvata,,,,,urn:uuid:8802ec9d-26c2-4852-aabc-3472a9d9a0fc,"2023-07-16 05:07:11"
3083911,"Elinor Lehto",s.d.,,"Pectocarya recurvata",1,"I.M. Johnston",Pectocarya,recurvata,,,,,urn:uuid:2c6b568e-7f30-4d65-a7ad-0f8a3a114438,"2023-07-16 05:07:11"
