coreid,identifiedBy,dateIdentified,identificationQualifier,scientificName,identificationIsCurrent,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordID,modified
1943666,"Hammond, H. D.",2000,,"Pectocarya recurvata",1,"I.M. Johnston",Pectocarya,recurvata,,,,,urn:uuid:8dd78ffd-7a8f-402b-a378-82a2df8cffd5,"2023-07-16 05:07:11"
6086881,"Porter, J. Mark",s.d.,,"Pectocarya recurvata",1,"I.M. Johnston",Pectocarya,recurvata,,,,,urn:uuid:55a7ce7c-5a55-4f3e-8c1f-0d8725d8dad1,"2023-07-16 05:07:11"
6092613,"Porter, J. Mark",s.d.,,"Pectocarya recurvata",1,"I.M. Johnston",Pectocarya,recurvata,,,,,urn:uuid:80ed2e9e-f067-4c9f-85ac-4f50b0a3097e,"2023-07-16 05:07:11"
10898348,unknown,s.d.,,"Pectocarya recurvata",1,"I.M. Johnst.",Pectocarya,recurvata,,,,,urn:uuid:cf28fc6f-6f80-4a8d-982a-530f6db667db,"2023-07-16 05:07:11"
10902920,"James S. Miller (MO)",s.d.,,"Pectocarya recurvata",1,"I.M. Johnst.",Pectocarya,recurvata,,,,,urn:uuid:a785f953-7df9-4741-ab3c-f965ee53a13f,"2023-07-16 05:07:11"
15364630,unknown,s.d.,,"Pectocarya recurvata",1,"I.M. Johnston",Pectocarya,recurvata,,,,,urn:uuid:e2e69d84-4077-49bb-be9f-ac5575c82107,"2023-07-16 05:07:11"
15364767,unknown,s.d.,,"Pectocarya recurvata",1,"I.M. Johnston",Pectocarya,recurvata,,,,,urn:uuid:b486291a-377e-4cc4-8a68-8e6293f4ba32,"2023-07-16 05:07:11"
24869501,unknown,s.d.,,"Pectocarya recurvata",1,"I.M. Johnston",Pectocarya,recurvata,,,,,urn:uuid:297a9c35-38c9-45ee-9f7c-5388eb6fbccd,"2023-07-16 05:07:11"
24869895,unknown,s.d.,,"Pectocarya recurvata",1,"I.M. Johnston",Pectocarya,recurvata,,,,,urn:uuid:6e7389d6-b941-4a5b-88a2-272a38b26b0c,"2023-07-16 05:07:11"
24913815,unknown,s.d.,,"Pectocarya recurvata",1,"I.M. Johnston",Pectocarya,recurvata,,,,,urn:uuid:0a7d6ea7-4161-4937-ab61-cef100e4473b,"2023-07-16 05:07:11"
24913904,unknown,s.d.,,"Pectocarya recurvata",1,"I.M. Johnston",Pectocarya,recurvata,,,,,urn:uuid:d70fe360-b42b-4e29-aa2b-5a2cc4f1336d,"2023-07-16 05:07:11"
25110213,unknown,s.d.,,"Pectocarya recurvata",1,"I.M. Johnston",Pectocarya,recurvata,,,,,urn:uuid:4cb5704f-1b5a-4bdf-a21c-b5a2de920d9c,"2023-07-16 05:07:11"
26823889,unknown,s.d.,,"Pectocarya recurvata",1,"I.M. Johnston",Pectocarya,recurvata,,,,,urn:uuid:8d614d9e-5b21-45f1-8c1f-92b811536d95,"2023-07-16 05:07:11"
26824000,unknown,s.d.,,"Pectocarya recurvata",1,"I.M. Johnston",Pectocarya,recurvata,,,,,urn:uuid:d9c8d2c2-5599-4f53-a658-b036fbe2aac4,"2023-07-16 05:07:11"
26824091,unknown,s.d.,,"Pectocarya recurvata",1,"I.M. Johnston",Pectocarya,recurvata,,,,,urn:uuid:ad76b1c0-cd89-434d-9698-ab43ee0e7244,"2023-07-16 05:07:11"
26824317,unknown,s.d.,,"Pectocarya recurvata",1,"I.M. Johnston",Pectocarya,recurvata,,,,,urn:uuid:057d49e6-e66b-49e4-9618-77322720ec44,"2023-07-16 05:07:11"
