"","sample","C_percent","N_percent","C.N","N_isotope_raw","C_isotope_raw","WUE","precision","plant_ID","combined_weight","mean_sla"
"63",63,39.1,3.1,12.5,4.5,-28.2,20.78616999,NA,"WP14",4.599,19.0487964533333
"64",64,33.9,2.8,12.1,4.7,-28.7,21.31164419,NA,"WP18",4.813,16.5754340566667
"65",65,30.5,3,10,6.1,-28.1,20.68114003,NA,"WP22",3.949,17.07668475
"66",66,38.3,3.2,12,5.9,-27.3,19.8416778,NA,"WP23",3.621,16.7670113
"67",67,38.1,2.6,14.7,-0.6,-28.7,21.31164419,NA,"WP28",4.748,15.78232826
"68",68,37.1,2.3,16.3,5,-29.7,22.36421725,0.25,"PL1",4.029,13.77093284
"69",69,37,3.7,10,2.7,-29.4,22.0482176,NA,"PL2",4.303,18.07413327
"70",70,35.8,3.2,11.1,4.7,-28.6,21.20650607,NA,"PL3",4.889,14.5024158266667
"71",71,37,3.8,9.8,3.7,-29.2,21.83765966,NA,"PL4",4.674,16.1712012733333
"72",72,36.8,3.9,9.3,4.1,-28.9,21.52198538,NA,"PL5",4.917,14.7461420166667
"73",73,36.7,3.9,9.5,3.9,-27.9,20.47114494,NA,"PL6",5.045,17.39466253
"74",74,37.3,3.4,11.1,3.8,-28.7,21.31164419,NA,"PL7",3.97,13.97516439
"75",75,37.6,3.9,9.6,6.8,-28.7,21.31164419,NA,"PL8",4.646,13.7470159066667
"76",76,38.6,4.1,9.4,6,-28.8,21.41680395,NA,"PL9",4.263,13.42104506
"77",77,36.7,3.9,9.5,6.4,-29.8,22.4695939,NA,"PL10",4.816,16.2695462533333
"78",78,39,3,13.2,6.2,-29.1,21.73241322,NA,"PL11",3.566,17.2967694766667
"79",79,34.4,2.3,15,2.4,-29.1,21.73241322,0.25,"VJ1",4.314,12.5459037066667
"80",80,34.7,1.3,27.1,0.8,-30,22.68041237,0.25,"VJ3",4.132,12.91060814
"81",81,33.5,2.4,14.1,3.3,-27.2,19.73684211,NA,"VJ5",4.765,11.5874720766667
"82",82,30.9,1.3,24.3,3.3,-29.2,21.83765966,0.25,"VJ6",3.904,11.9503624466667
"83",83,33.1,3,10.9,-0.4,-27.5,20.05141388,NA,"VJ9",4.771,14.6278000266667
"84",84,30,1.6,19.1,2.3,-27.8,20.3661798,0.25,"VJ11",2.597,14.40409897
"85",85,34.4,3.1,11.2,3.3,-28.9,21.52198538,NA,"VJ13",6.11,13.7157446466667
"86",86,34.9,1.8,19.3,1.5,-27.6,20.15631427,0.25,"VJ17",4.574,10.3619171323333
"87",87,34,2.2,15.2,4,-28.3,20.89122157,NA,"VJ20",5.88,11.2433555633333
"88",88,34,3.5,9.7,2.3,-28.9,21.52198538,NA,"VJ24",4.081,15.9902311066667
"89",89,34.4,2.8,12.3,2.1,-28.5,21.1013896,NA,"VJ28",4.831,12.90146491
"90",90,33.4,2.6,12.7,4.1,-29.2,21.83765966,NA,"VJ30",5.224,11.9855475
"91",91,35.9,1.5,24.6,9.8,-29,21.62718847,0.25,"HL3",2.863,12.09928998
"92",92,32.3,2.1,15.6,5.2,-29,21.62718847,NA,"HL4",3.72,12.8551387766667
"93",93,32.5,1.9,17.5,10.3,-29.7,22.36421725,0.25,"HL5",4.589,11.1746340433333
"94",94,32.8,2.6,12.5,5.7,-26.2,18.68966934,NA,"HL8",3.291,13.71377848
"95",95,37.1,2.1,17.6,18.5,-28.9,21.52198538,0.25,"HL9",3.731,15.4238367
"96",96,34.9,1.9,18.4,5.3,-28,20.57613169,0.25,"HL15",3.132,13.8429967933333
