32.22,-111.01,pop 1
32.47,-111.51,pop 3
31.91,-110.99,pop 4
32.77,-112.26,pop 5
32.17,-112.76,pop 6
31.91,-111.95,pop 7
32.58,-111.33,pop 8
34.71,-113.61,pop 9
34.77,-114.62,pop 10
34.25,-114.65,pop 11
33.85,-111.82,pop 12
33.83,-112.28,pop 13
34.28,-113.1,pop14
31.93,-111.01,pop 15
31.93,-109.08,pop 16
