gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
4091831901	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/154730655	Plantae	Tracheophyta	Magnoliopsida	Boraginales	Boraginaceae	Pectocarya	Pectocarya recurvata		SPECIES	Pectocarya recurvata I.M.Johnst.	Pectocarya recurvata		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	33.23959	-116.392796	4.0						2023-04-04T11:34:05	4	4	2023	2926126	2926126	HUMAN_OBSERVATION	iNaturalist	Observations	154730655		Michael G. Simpson	2023-04-13T18:46:09	CC_BY_NC_4_0	Michael G. Simpson	Michael G. Simpson			2024-11-02T15:42:35.513Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4091756492	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/147800565	Plantae	Tracheophyta	Magnoliopsida	Boraginales	Boraginaceae	Pectocarya	Pectocarya recurvata		SPECIES	Pectocarya recurvata I.M.Johnst.	Pectocarya recurvata		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	33.791726	-116.556285							2023-01-30	30	1	2023	2926126	2926126	HUMAN_OBSERVATION	iNaturalist	Observations	147800565		Matt Guilliams	2023-02-04T21:54:10	CC_BY_NC_4_0	quandary	quandary			2024-11-02T16:09:15.611Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4091701570	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/153497137	Plantae	Tracheophyta	Magnoliopsida	Boraginales	Boraginaceae	Pectocarya	Pectocarya recurvata		SPECIES	Pectocarya recurvata I.M.Johnst.	Pectocarya recurvata		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	32.871237	-116.235053							2023-04-02T10:04:18	2	4	2023	2926126	2926126	HUMAN_OBSERVATION	iNaturalist	Observations	153497137		nathantay	2023-04-04T22:10:51	CC_BY_NC_4_0	nathantay	nathantay			2024-11-02T15:38:34.979Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4091631471	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/155229596	Plantae	Tracheophyta	Magnoliopsida	Boraginales	Boraginaceae	Pectocarya	Pectocarya recurvata		SPECIES	Pectocarya recurvata I.M.Johnst.	Pectocarya recurvata		US		Arizona	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	33.453758	-111.129112	60495.0						2023-04-15T14:10:13	15	4	2023	2926126	2926126	HUMAN_OBSERVATION	iNaturalist	Observations	155229596		bteplik	2023-04-16T21:43:33	CC_BY_NC_4_0	bteplik	bteplik			2024-11-02T16:15:43.330Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4091595557	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/153421105	Plantae	Tracheophyta	Magnoliopsida	Boraginales	Boraginaceae	Pectocarya	Pectocarya recurvata		SPECIES	Pectocarya recurvata I.M.Johnst.	Pectocarya recurvata		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	32.968292	-116.332292	3.0						2023-04-02T14:49:43	2	4	2023	2926126	2926126	HUMAN_OBSERVATION	iNaturalist	Observations	153421105		smfang	2023-04-04T08:09:39	CC_BY_NC_4_0	smfang	smfang			2024-11-02T15:41:48.628Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4091477536	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/153097842	Plantae	Tracheophyta	Magnoliopsida	Boraginales	Boraginaceae	Pectocarya	Pectocarya recurvata		SPECIES	Pectocarya recurvata I.M.Johnst.	Pectocarya recurvata		US		Nevada	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	36.110671	-114.843435	3.0						2023-04-01T11:21:08	1	4	2023	2926126	2926126	HUMAN_OBSERVATION	iNaturalist	Observations	153097842		lonnyholmes	2023-04-02T00:54:21	CC_BY_NC_4_0	lonnyholmes	lonnyholmes			2024-11-02T16:11:10.466Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4091425758	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/154619881	Plantae	Tracheophyta	Magnoliopsida	Boraginales	Boraginaceae	Pectocarya	Pectocarya recurvata		SPECIES	Pectocarya recurvata I.M.Johnst.	Pectocarya recurvata		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	36.700817	-118.039086	4.0						2023-04-11T14:46:08	11	4	2023	2926126	2926126	HUMAN_OBSERVATION	iNaturalist	Observations	154619881		Steve Matson	2023-04-12T21:43:32	CC_BY_4_0	Steve Matson	Steve Matson			2024-11-02T15:43:13.513Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4080959773	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/153585871	Plantae	Tracheophyta	Magnoliopsida	Boraginales	Boraginaceae	Pectocarya	Pectocarya recurvata		SPECIES	Pectocarya recurvata I.M.Johnst.	Pectocarya recurvata		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	36.236148	-117.426043							2023-04-01T11:34	1	4	2023	2926126	2926126	HUMAN_OBSERVATION	iNaturalist	Observations	153585871		Steve Matson	2023-04-05T17:21:37	CC_BY_4_0	Steve Matson	Steve Matson			2024-11-02T16:23:47.778Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4080953056	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/153886462	Plantae	Tracheophyta	Magnoliopsida	Boraginales	Boraginaceae	Pectocarya	Pectocarya recurvata		SPECIES	Pectocarya recurvata I.M.Johnst.	Pectocarya recurvata		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	34.012468	-116.626745							2023-04-07T14:08	7	4	2023	2926126	2926126	HUMAN_OBSERVATION	iNaturalist	Observations	153886462		Pete Schwartz	2023-04-08T02:23:29	CC0_1_0	Pete Schwartz	Pete Schwartz			2024-11-02T16:22:13.993Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4080951617	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/153474338	Plantae	Tracheophyta	Magnoliopsida	Boraginales	Boraginaceae	Pectocarya	Pectocarya recurvata		SPECIES	Pectocarya recurvata I.M.Johnst.	Pectocarya recurvata		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	36.268178	-117.431572							2023-04-02T11:09	2	4	2023	2926126	2926126	HUMAN_OBSERVATION	iNaturalist	Observations	153474338		Steve Matson	2023-04-04T18:45:10	CC_BY_4_0	Steve Matson	Steve Matson			2024-11-02T15:42:25.064Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4080944389	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/107108282	Plantae	Tracheophyta	Magnoliopsida	Boraginales	Boraginaceae	Pectocarya	Pectocarya recurvata		SPECIES	Pectocarya recurvata I.M.Johnst.	Pectocarya recurvata		US		Arizona	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	33.7685	-112.046669	10.0						2022-02-19T10:06	19	2	2022	2926126	2926126	HUMAN_OBSERVATION	iNaturalist	Observations	107108282		Matt Guilliams	2022-02-22T14:00:03	CC_BY_NC_4_0	George Roark	George Roark			2024-11-02T16:02:47.747Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
