id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references
707832,ASU,Plants,,PreservedSpecimen,e887e0ee-6e99-47e3-9482-a0cc403888a0,,249734,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Pectocarya,Plantae,Magnoliophyta,,Boraginales,Boraginaceae,Pectocarya recurvata,1791,I.M. Johnston,Pectocarya,,recurvata,,,Species,,,,,,,,Jodi Basher,Greg Peterson,3,3/16/04,,2004,3,16,76,,,,Upland sonora,,,,,,,,,,ecologicallyOccursWith: Carnegia gigantea,flowers & fruit,,0,,,,,,,,,,,USA,Arizona,Pima County,,"Tucson, AZ; Interstate 10 west to Cortaro Road right (W) to Silverbell right (N) to Scenic Drive left (S) to 8925 north Scenic Drive",,0,,32.3691,-111.141,,,,,,,,,661,,,,,2167ft,,,roisan,7/16/23 7:02,76212,1,e887e0ee-6e99-47e3-9482-a0cc403888a0,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=707832
5563908,ARIZ,,,PreservedSpecimen,urn:uuid:1138f053-a46c-406a-b427-55143fae33b5,,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Pectocarya,Plantae,Magnoliophyta,,Boraginales,Boraginaceae,Pectocarya recurvata,1791,I.M. Johnston,Pectocarya,,recurvata,,,Species,K. Reichhardt,3/25/85,,,,,,K. Reichhardt,,85-66,3/25/85,,1985,3,25,84,,"March,25,1985",,,,,,,,,,,,,Fruiting,,,,,,,,,,,,,United States,Arizona,Pima County,,"0.3 mile north of Rattlesnake Pass and 0.2 mile west of Silverbell Road, in low volcanic hills with Cercidium and Larrea",,,,32.3762,-111.1429,,500,,,,,,,792,,,,,2600 ft.,,,,11/7/13 11:43,45811,2,501414f8-2c0e-4d0d-8c26-b83655bc173b,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=5563908
850335,ARIZ,,,PreservedSpecimen,urn:uuid:32c6c4c6-0272-40dd-bc3c-f9674a5e1a98,147019,SAGU 6767,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Pectocarya,Plantae,Magnoliophyta,,Boraginales,Boraginaceae,Pectocarya recurvata,1791,I.M. Johnston,Pectocarya,,recurvata,,,Species,Barbara Veno,1/1/77,,As determined,,,,R. J. Barr,,62-60,2/27/62,,1962,3,27,58,,"February,27,1962",,,,,,,,,,,,,Reproductive,,,,,,,,,,,,,United States,Arizona,Pima County,,"Saguaro National Park, Tucson Mountain District; near Picture Rocks Pass",,,,32.2787,-111.1826,,30000,,,,,,,,,,,,,,,,6/4/14 17:55,45757,2,2574257b-8513-4757-aa80-b573a796b6f8,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=850335
850419,ARIZ,,,PreservedSpecimen,urn:uuid:a3e77c7d-ea03-4862-bb40-a382e836407e,368020,SAGU 6766,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Pectocarya,Plantae,Magnoliophyta,,Boraginales,Boraginaceae,Pectocarya recurvata,1791,I.M. Johnston,Pectocarya,,recurvata,,,Species,Patricia A. West,4/4/01,,,,,,Patricia A. West,"Dale Turner, Teresa DeKoker, Emily Willard",86,4/4/01,,2001,4,4,94,,"April,4,2001",Forb 10,,,,,,,,,,,,Reproductive,,,,,,,,,,,,,United States,Arizona,Pima County,,"Saguaro National Park, Tucson Mountain District;",,,,32.28353,-111.17672,,,UTM: 12 483359 3571876,,,,,,883,,,,,2900 ft.,,,,6/4/14 17:55,95562,2,c71ab9e9-7cbf-480c-8f43-c0328621e54d,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=850419
6642404,MABA,Plants,,HumanObservation,1a8e99fa-3088-439d-be9c-bcbe8d680bf7,son-trv-28542,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Pectocarya,Plantae,Magnoliophyta,,Boraginales,Boraginaceae,Pectocarya recurvata,1791,I.M. Johnston,Pectocarya,,recurvata,,,Species,,,,,,,,A.L. Reina-G.,T.R. Van Devender,,4/5/15,,2015,4,5,95,,5-Apr-15,,Rocky canyon; Arizona Upland Sonoran desertscrub.,,,,,,,,,,,,,,,,,,,,,,,,United States,Arizona,Pima,,"Picture Rocks Pass, W of Tuson, Tucson Mountains.",,,,32.32444,-111.11972,,,,,,,,,,,,,,,,,,7/16/23 7:02,son-trv-28542,100,1a8e99fa-3088-439d-be9c-bcbe8d680bf7,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=6642404
739125,ASU,Plants,,PreservedSpecimen,72da391b-ba72-4000-a97f-87f63831aa3d,,167843,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Pectocarya,Plantae,Magnoliophyta,,Boraginales,Boraginaceae,Pectocarya recurvata,1791,I.M. Johnston,Pectocarya,,recurvata,,,Species,,,,,,,,Larry C. Higgins,,6286,3/24/73,,1973,3,24,83,,,,Sandy soil; Larrea-desert shrub community,,,,,,,,herbariumSpecimenDuplicate: https://swbiodiversity.org/seinet/collections/individual/index.php?guid=USU:UTC:140834 | herbariumSpecimenDuplicate: https://swbiodiversity.org/seinet/collections/individual/index.php?guid=624ecb97-eac5-42fb-9a44-c16b120dc2c4 | herbariumSpecimenDuplicate: https://swbiodiversity.org/seinet/collections/individual/index.php?guid=B4B732C9-3DC9-40E9-9B45-753E8680DBE1 | herbariumSpecimenDuplicate: https://swbiodiversity.org/seinet/collections/individual/index.php?guid=676060cf-32c8-4e40-9fe5-6de63e7f593e,,ecologicallyOccursWith: Larrea,flowers & fruit,,0,,,,,,,,,,,USA,Arizona,Pima County,,"Along Highway 86; 91 miles east of Ajo, AZ",,0,,32.362,-111.296,,,,,,GEOLocate_032105; High precision,not reviewed,,,,,,,,,,roisan,7/16/23 7:02,116969,1,72da391b-ba72-4000-a97f-87f63831aa3d,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=739125
26823889,GreaterGood,,,HumanObservation,98fd8a8a-8bd8-43df-b57d-b925bab8a996,mde-45667,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Pectocarya,Plantae,Magnoliophyta,,Boraginales,Boraginaceae,Pectocarya recurvata,1791,I.M. Johnston,Pectocarya,,recurvata,,,Species,,,,,,,,C.D. Bertelsen,,,4/4/89,,1989,4,4,94,,4-Apr-89,,Rocky slopes; Sonoran desertscrub.,,,,,,,,,,,,,,,,,,,,,,,,United States,Arizona,Pima,,"N of Safford Peak, 0.9 km WSW of Sanctuary Cove, W of Tucson, Tucson Mts., Saguaro National Park.",,,,32.34861,-111.14917,,,32° 20m 55s 111° 8m 57s,,,,,,826,,,,,,,,,7/16/23 7:02,,274,98fd8a8a-8bd8-43df-b57d-b925bab8a996,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=26823889
26824000,GreaterGood,,,HumanObservation,3097ed9f-56b1-4a01-b3a3-8ddac639eefe,mde-45778,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Pectocarya,Plantae,Magnoliophyta,,Boraginales,Boraginaceae,Pectocarya recurvata,1791,I.M. Johnston,Pectocarya,,recurvata,,,Species,,,,,,,,T.R. Van Devender,"C.D. Bertelsen, R.J. Rondeau, R.K. Van Devender, P.Jenkins",,3/5/89,,1989,3,5,64,,5-Mar-89,"Also Sept. 18, 1988 and May 9, 1989.",Rocky slopes; Sonoran desertscrub.,,,,,,,,,,,,,,,,,,,,,,,,United States,Arizona,Pima,,"Near the radio towers on the crest of the Tucson Mountains, NW of Trails End Canyon.",,,,32.2428,-111.1229,,,32.2428° 111.1229°,,,,,,1325,,,,,,,,,7/16/23 7:02,,274,3097ed9f-56b1-4a01-b3a3-8ddac639eefe,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=26824000
26824317,GreaterGood,,,HumanObservation,d0417a90-585e-42ff-8fe3-6d4182cee180,mde-46095,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Pectocarya,Plantae,Magnoliophyta,,Boraginales,Boraginaceae,Pectocarya recurvata,1791,I.M. Johnston,Pectocarya,,recurvata,,,Species,,,,,,,,T.R. Van Devender,"C.D. Bertelsen, R.J. Rondeau",,4/4/89,,1989,4,4,94,,4-Apr-89,,Rocky slopes; Sonoran desertscrub.,,,,,,,,,,,,,,,,,,,,,,,,United States,Arizona,Pima,,"Safford Canyon, S of Safford Peak, 1.6 km S of Sanctuary Cove, W of Tucson, Tucson Mts., Saguaro National Park.",,,,32.34028,-111.14556,,,32° 20m 25s 111° 8m 44s,,,,,,749,,,,,,,,,7/16/23 7:02,,274,d0417a90-585e-42ff-8fe3-6d4182cee180,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=26824317
26824091,GreaterGood,,,HumanObservation,c19510a6-1461-472e-bd4b-38acc0175586,mde-45869,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Pectocarya,Plantae,Magnoliophyta,,Boraginales,Boraginaceae,Pectocarya recurvata,1791,I.M. Johnston,Pectocarya,,recurvata,,,Species,,,,,,,,C.D. Bertelsen,,,4/4/89,,1989,4,4,94,,4-Apr-89,,Rocky slopes; Sonoran desertscrub.,,,,,,,,,,,,,,,,,,,,,,,,United States,Arizona,Pima,,"Panther Peak, 2.4 km WSW of Sanctuary Cove, W of Tucson, Tucson Mts., Saguaro National Park.",,,,32.34611,-111.16528,,,32° 20m 46s 111° 9m 55s,,,,,,962,,,,,,,,,7/16/23 7:02,,274,c19510a6-1461-472e-bd4b-38acc0175586,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=26824091
8623497,OBI,,,PreservedSpecimen,104297eb-3e9a-4409-af16-827511537ca8,OBI136193,20867,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Pectocarya,Plantae,Magnoliophyta,,Boraginales,Boraginaceae,Pectocarya recurvata,1791,I.M. Johnston,Pectocarya,,recurvata,,,Species,"Originally named Pectocarya linearis, annotated to Pectocarya recurvata by DJK in 2014",,,,,,,D.H. Thomsom,,,3/20/44,,1944,3,20,80,,20-Mar-44,,"Southwest exposure, gravel soil, xerophytic plants",,,,,,,,,,,,,,,,,,,,,,,,United States,Arizona,Pima,,"Picture Rocks, Tucson",,0,,32.323067,-111.127318,WGS84,1000,,Katie Pearson,,GeoLocate (CoGe),,"point at peak named Picture Rocks, radius encompasses peak and trailhead to the NW",823,,,,,2700ft.,,,,7/21/14 0:00,197540,306,104297eb-3e9a-4409-af16-827511537ca8,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=8623497
16512564,COLO,V,,PreservedSpecimen,3e788130-4060-424f-b78d-43229d85fb23,1926518,449427,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Pectocarya,Plantae,Magnoliophyta,,Boraginales,Boraginaceae,Pectocarya recurvata,1791,I.M. Johnston,Pectocarya,,recurvata,,,Species,,,,,,,,Miriam C. Fritts; Harold C. Fritts,,83-15,2/27/83,,1983,2,27,58,,27 Feb. 1983,Imager: Robbie Gershon; Date: 2/20/2017,,,,,,,,,herbariumSpecimenDuplicate: https://swbiodiversity.org/seinet/collections/individual/index.php?guid=2179b140-0ccc-442f-bb94-52b4de646c2e,,,,,,,,,,,,,,,,United States,Arizona,Pima,,"SW of Tucson, San Xavier Indian Reservation, wash near Black Mt.",,,,32.05,-111.0833,WGS84,800,,Alexander Henrie,SoRo; Biogeomancer Guide to Best Practices in Georeferencing,GEOLocate,reviewed - high confidence,"Georeferenced to extent of San Xavier Indian Reservation, SW of Tucson and near Black Mountain; Georeferenced 7/29/2021",800,,,,,,,,vrluckiw,6/7/21 0:00,369952,368,258fc3e0-b1a4-44c1-ab09-64bc0f9575e8,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=16512564
28831548,SD,Plants,,PreservedSpecimen,77C1E0CD-FA07-4569-85C9-937D4ECD5A60,,SD96153,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Pectocarya,Plantae,Magnoliophyta,,Boraginales,Boraginaceae,Pectocarya recurvata,1791,I.M. Johnston,Pectocarya,,recurvata,,,Species,"Barbara Veno, 1983",,,,,,,R. M. Turner,,69-2,3/7/69,,1969,3,7,66,,3/7/69,,Disturbed ground.,,,,,,,,herbariumSpecimenDuplicate: https://swbiodiversity.org/seinet/collections/individual/index.php?guid=urn:uuid:38054849-248f-4801-a6fc-1b001696876d,,,FL,,,,,,,,,,,,,United States,Arizona,Pima,,Plain west of Tumamoc Hill,,,,32.21667,-111.01667,WGS84,,,n/a,,Coordinates from label,,n/a,745,,,,,,,,,6/14/23 11:23,1935950,506,419159ff-4ea3-4c43-890e-a84b8bf0e9aa,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=28831548
29074845,NY,,,PreservedSpecimen,534376bc-9dac-429d-a4c0-8d1aca229f90,3244341,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Pectocarya,Plantae,Magnoliophyta,,Boraginales,Boraginaceae,Pectocarya recurvata,1791,I.M. Johnston,Pectocarya,,recurvata,,,Species,,,,,,,,D. Griffiths,,2449,3/12/01,,1901,3,12,71,71,12-Mar-01,,,,,,,,,,,,,,,,,,,,sheet,,,,,,United States of America,Arizona,,,Tucson Mts.,[US & Canada],,,32.214186,-111.093063,WGS84,,,,Georeferencing Quick Reference Guide (Zermoglio et,Google Maps (map data 2021); MaNIS Georef. Calculator,,,,,,,,,,en,,8/7/24 15:39,534376bc-9dac-429d-a4c0-8d1aca229f90,40,d8da91b5-4251-4be5-92c6-f340b3c65c9b,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=29074845
32382032,GreaterGood,,,HumanObservation,a34d6405-9f79-4b13-90c8-129c541702c0,MDE-61786,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Pectocarya,Plantae,Magnoliophyta,,Boraginales,Boraginaceae,Pectocarya recurvata,1791,I.M. Johnston,Pectocarya,,recurvata,,,Species,,,,,,,,T.R. Van Devender,,,2/20/24,,2024,2,20,51,,20-Feb-24,,Sonoran desertscrub.,,,,,,,,,,,,,,,,,,,,,,,,United States,Arizona,Pima,,"E side of Black Mountain W of Santa Cruz River, 1.9 km (by air) WSW of San Xavier Mission, San Xavier Indian Reservation, S edge of greater Tuson.",,,,32.087987,-111.02566,,,32.0879874° 111.02566°,,,,,,793,,,,,,,,,3/29/24 11:00,,274,a34d6405-9f79-4b13-90c8-129c541702c0,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=32382032
1941994,MNA,,,PreservedSpecimen,5b11f027-5ef2-483b-b892-dbd758f9bacc,B.29046,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Pectocarya,Plantae,Magnoliophyta,,Boraginales,Boraginaceae,Pectocarya recurvata,1791,I.M. Johnston,Pectocarya,,recurvata,,,Species,"Bensusan, D.E.",,,,,,,"Phillips, A.",,78-383,4/5/78,,1978,4,5,95,,,,,,,,,,,,,,,,,0,,,,,,,,,,,USA,Arizona,Pima County,,"Sandario Rd. .5 mi. N of jct AZ-86. Roadside in red sandy soil. Nutlets reflexed. SW1/4, Sec.15, T15S, R11E.",,0,,32.124742,-111.215525,WGS84,969,TRS: T15S R11E sec,,,GeoLocate,,,,,,,,ca. 2420',,,,7/16/23 7:02,29046,103,5b11f027-5ef2-483b-b892-dbd758f9bacc,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1941994
400410,UCR,,,PreservedSpecimen,UCR-BPS-128438,,UCR-128438,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Pectocarya,Plantae,Magnoliophyta,,Boraginales,Boraginaceae,Pectocarya recurvata,1791,I.M. Johnston,Pectocarya,,recurvata,,,Species,,,,,,,,R.W. Raught,,21,3/12/53,,1953,3,12,71,,3/12/53,"Small annual, fls. white, inconspicuous, pedicels recurving at maturity.",Soil: gravelly loam on basaltic lava rocks. Assn: palo verde & creosote bush. East exposed slopes at side of road cut.,,,,,,,,,,,Flowering & Fruiting,,,,,,,,,,,,,United States,Arizona,Pima,,"Rattlesnake Pass, Tucson Mountains",,0,,32.20456,-111.11172,,,,,,BCGeoReferenced,,,915,,,,,,,,,9/7/24 22:03,1542162,9,177c9257-3f90-4183-9b0d-5db0c6a2da4d,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=400410
5563904,ARIZ,,,PreservedSpecimen,urn:uuid:5417303c-fabe-468a-8b59-b1c7dd099cc6,,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Pectocarya,Plantae,Magnoliophyta,,Boraginales,Boraginaceae,Pectocarya recurvata,1791,I.M. Johnston,Pectocarya,,recurvata,,,Species,R.J. Barr,3/20/68,,,,,,R. J. Barr,,68-110,3/20/68,,1968,3,20,80,,"March,20,1968",,,,,,,,,,,,,,,,,,,,,,,,,,United States,Arizona,Pima County,,"Bopp Road, south end of Tucson Mountains",,,,32.23,-111.09694,,,,,,,,,,,,,,,,,,11/7/13 11:43,45807,2,39cdc684-a8c4-42e5-a795-a2419ffcac73,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=5563904
5563925,ARIZ,,,PreservedSpecimen,urn:uuid:5d939469-db50-498b-b2bd-045b230ce3fa,,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Pectocarya,Plantae,Magnoliophyta,,Boraginales,Boraginaceae,Pectocarya recurvata,1791,I.M. Johnston,Pectocarya,,recurvata,,,Species,J.E. Bowers,12/1/83,,,,,,J. E. Bowers,"2530, 2559, 2564, 2434","2463-, 2518",1983-04-00,,1983,4,0,,,"18-22 April,1983",,,,,,,,,,,,,,,,,,,,,,,,,,United States,Arizona,Pima County,,"Spaulding Shreve permanent plots XV, XVI, IV, XVII,IX, Area B, Tumamoc Hill, Tucson",,,,32.216667,-111.0063,,,,,,,,,,,,,,,,,,11/7/13 11:43,45830,2,4ccd3caf-5d6c-450f-9fa1-44023e61656b,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=5563925
5563926,ARIZ,,,PreservedSpecimen,urn:uuid:d105013b-85a6-4aab-b3c5-888f4e4bf9df,,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Pectocarya,Plantae,Magnoliophyta,,Boraginales,Boraginaceae,Pectocarya recurvata,1791,I.M. Johnston,Pectocarya,,recurvata,,,Species,J.E. Bowers,4/8/83,,,,,,J. E. Bowers,,"2233-, 2283",4/8/83,,1983,4,8,98,,"April,8,1983",,,,,,,,,,,,,,,,,,,,,,,,,,United States,Arizona,Pima County,,"Spaulding-Shreve Permanent Plots VII and XII, Tumamoc Hill, Tucson",,,,32.216667,-111.0063,,,,,,,,,,,,,,,,,,11/7/13 11:43,45831,2,ad56a4ae-054a-4b6d-b83a-341c4773f0d2,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=5563926
5563857,ARIZ,,,PreservedSpecimen,urn:uuid:38054849-248f-4801-a6fc-1b001696876d,,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Pectocarya,Plantae,Magnoliophyta,,Boraginales,Boraginaceae,Pectocarya recurvata,1791,I.M. Johnston,Pectocarya,,recurvata,,,Species,R.M. Turner,3/7/69,,,,,,R. M. Turner,,69-2,3/7/69,,1969,3,7,66,,"March,7,1969",,,,,,,,,,herbariumSpecimenDuplicate: https://swbiodiversity.org/seinet/collections/individual/index.php?guid=77C1E0CD-FA07-4569-85C9-937D4ECD5A60,,,,,,,,,,,,,,,,United States,Arizona,Pima County,,Plain W of Tumamoc Hill,,,,32.216667,-111.016667,,,,,,,,,746,,,,,2450 ft.,,,,11/7/13 11:43,45754,2,7bc7624b-d44c-4e7f-b49e-5f395b48a1bc,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=5563857
5563932,ARIZ,,,PreservedSpecimen,urn:uuid:a03eee77-5711-45a4-b1e2-dc0a7465303b,,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Pectocarya,Plantae,Magnoliophyta,,Boraginales,Boraginaceae,Pectocarya recurvata,1791,I.M. Johnston,Pectocarya,,recurvata,,,Species,L. Benson,3/11/41,,,,,,L. Benson,,10633,3/11/41,,1941,3,11,70,,"March,11,1941",,''A'' Mountain.,,,,,,,,herbariumSpecimenDuplicate: https://swbiodiversity.org/seinet/collections/individual/index.php?guid=urn:uuid:050ad469-5980-4f86-8622-30790643a12d,,,Fruiting,,,,,,,,,,,,,United States,Arizona,Pima County,,Tumamoc Hill,,,,32.21056,-110.9918,WGS84,1000,,,,,,,731,,,,,2400 ft.,,,,6/28/17 14:56,45840,2,566c52ec-b7a3-414f-8593-843f2d428602,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=5563932
5563891,ARIZ,,,PreservedSpecimen,urn:uuid:050ad469-5980-4f86-8622-30790643a12d,,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Pectocarya,Plantae,Magnoliophyta,,Boraginales,Boraginaceae,Pectocarya recurvata,1791,I.M. Johnston,Pectocarya,,recurvata,,,Species,L. Benson,3/11/41,,,,,,L. Benson,,10633,3/11/41,,1941,3,11,70,,"March,11,1941",,Sonoran Desert,,,,,,,,herbariumSpecimenDuplicate: https://swbiodiversity.org/seinet/collections/individual/index.php?guid=urn:uuid:a03eee77-5711-45a4-b1e2-dc0a7465303b,,,,,,,,,,,,,,,,United States,Arizona,Pima County,,"A Mountains, Tucson",,,,32.2104,-110.9933,,500,,,,,,,731,,,,,2400 ft.,,,,11/7/13 11:43,45792,2,47d5df32-e6c3-4738-9c8d-8fd84bec361c,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=5563891
6092613,SJNM,,,PreservedSpecimen,9a013310-a610-11e3-a341-00ff10703b0e,SJNM-V-0020368,51108,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Pectocarya,Plantae,Magnoliophyta,,Boraginales,Boraginaceae,Pectocarya recurvata,1791,I.M. Johnston,Pectocarya,,recurvata,,,Species,"Porter, J. Mark",,,,,,,"Porter, J. Mark",,5342,3/12/88,,1988,3,12,72,,,,Sonoran Desert Scrub,Desert sand and gravels.,Annual up to 21 cm tall; corolla white,,,,,,,,"Larrea tridentata, Ambrosia, Opuntia, Cylindropuntia, saguaro, paloverde",,,,,,,,Unspecified - 1,,,,,,United States,Arizona,Pima,,"Santa Catalina Mountains. Foothills, entrance to Pima Canyon.",,0,,32.35,-110.94,,1000,,K. Heil,,Google Earth Pro,Reviewed: high confidence,Georeferenced using locality data.,893,,,,,2930 ft.,,,,8/20/23 4:28,9a013310-a610-11e3-a341-00ff10703b0e,104,5f6ccf73-7d70-4309-87e6-84e325c872da,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=6092613
